,cities,state
0,Mesa, AZ
1,Phoenix, AZ
2,Scottsdale, AZ
3,Yuma Proving Ground, AZ
4,Berkeley, CA
5,Beverly Hills, CA
6,Burbank, CA
7,Calabasas, CA
8,Carlsbad, CA
9,Carpinteria, CA
10,Culver City, CA
11,Cupertino, CA
12,Dublin, CA
13,Folsom, CA
14,French Camp, CA
15,Hayward, CA
16,Huntington Beach, CA
17,Industry, CA
18,Irvine, CA
19,Livermore, CA
20,Los Angeles, CA
21,Menlo Park, CA
22,Milpitas, CA
23,Mountain View, CA
24,Oakland, CA
25,Ontario, CA
26,Palo Alto, CA
27,Pasadena, CA
28,Rancho Cucamonga, CA
29,Riverside, CA
30,Sacramento, CA
31,San Diego, CA
32,San Francisco, CA
33,San Jose, CA
34,San Ramon, CA
35,Santa Ana, CA
36,Santa Barbara, CA
37,Santa Clara, CA
38,Santa Monica, CA
39,Sunnyvale, CA
40,Torrance, CA
41,Universal City, CA
42,West Hollywood, CA
43,Woodland Hills, CA
44,Aurora, CO
45,Denver, CO
46,Englewood, CO
47,Louisville, CO
48,Las Vegas, NV
49,Beaverton, OR
50,Hillsboro, OR
51,Portland, OR
52,Salt Lake City, UT
53,Bellevue, WA
54,Olympia, WA
55,Redmond, WA
56,Tacoma, WA
0,Tuscaloosa, AL
1,Bentonville, AR
2,Manila, AR
3,Wilmington, DE
4,Washington, DC
5,Altamonte Springs, FL
6,Bartow, FL
7,Boca Raton, FL
8,Delray Beach, FL
9,Doral, FL
10,Jacksonville, FL
11,Lake Mary, FL
12,Miami, FL
13,New Port Richey, FL
14,Orlando, FL
15,Palm Springs, FL
16,Tampa, FL
17,Winter Haven, FL
18,Alpharetta, GA
19,Atlanta, GA
20,Norcross, GA
21,Savannah, GA
22,Smyrna, GA
23,Tifton, GA
24,Georgetown, KY
25,Lexington, KY
26,Louisville, KY
27,Monroe, LA
28,Baltimore, MD
29,Bowie, MD
30,Clinton, MD
31,Frederick, MD
32,Linthicum, MD
33,Rockville, MD
34,Chapel Hill, NC
35,Charlotte, NC
36,Durham, NC
37,Greenville, NC
38,Raleigh, NC
39,Research Triangle Park, NC
40,Wilmington, NC
41,Calumet, OK
42,Oklahoma City, OK
43,Columbia, SC
44,Fort Mill, SC
45,Greenville, SC
46,Brentwood, TN
47,Memphis, TN
48,Nashville, TN
49,Addison, TX
50,Austin, TX
51,Dallas, TX
52,El Paso, TX
53,Fort Worth, TX
54,Houston, TX
55,Irving, TX
56,Lewisville, TX
57,Lubbock, TX
58,McKinney, TX
59,Plano, TX
60,Richardson, TX
61,San Antonio, TX
62,The Woodlands, TX
63,Alexandria, VA
64,Arlington, VA
65,Ashburn, VA
66,Charlottesville, VA
67,Chesterfield, VA
68,Fairfax, VA
69,McLean, VA
70,Reston, VA
71,Richmond, VA
72,Sterling, VA
0,Bloomfield, CT
1,Hartford, CT
2,Augusta, ME
3,Boston, MA
4,Cambridge, MA
5,Southborough, MA
6,Westborough, MA
7,Weston, MA
8,Salem, NH
9,Allendale, NJ
10,Bridgewater, NJ
11,Eatontown, NJ
12,Franklin Lakes, NJ
13,Hoboken, NJ
14,Iselin, NJ
15,Jersey City, NJ
16,Mount Laurel, NJ
17,Newark, NJ
18,Piscataway, NJ
19,Plainsboro, NJ
20,Princeton, NJ
21,Raritan, NJ
22,South Amboy, NJ
23,Township of Brick, NJ
24,Whippany, NJ
25,Woodbridge, NJ
26,Buffalo, NY
27,Corning, NY
28,Getzville, NY
29,Long Island City, NY
30,Manhattan, NY
31,New York, NY
32,Painted Post, NY
33,Port Washington, NY
34,Purchase, NY
35,Queens, NY
36,Rochester, NY
37,Schenectady, NY
38,Allentown, PA
39,Bala-Cynwyd, PA
40,Exton, PA
41,Harrisburg, PA
42,Malvern, PA
43,Philadelphia, PA
44,Pittsburgh, PA
45,West Chester, PA
46,Cumberland, RI
47,Woonsocket, RI
0,Batavia, IL
1,Buffalo Grove, IL
2,Chicago, IL
3,Des Plaines, IL
4,Lincolnshire, IL
5,North Chicago, IL
6,Oak Brook, IL
7,Peoria, IL
8,Rolling Meadows, IL
9,Schaumburg, IL
10,Indianapolis, IN
11,Des Moines, IA
12,West Des Moines, IA
13,Dearborn, MI
14,Plymouth, MI
15,Port Huron, MI
16,Portage, MI
17,Warren, MI
18,Wayne, MI
19,Chanhassen, MN
20,Eden Prairie, MN
21,Elk River, MN
22,Maplewood, MN
23,Minneapolis, MN
24,Saint Paul, MN
25,Earth City, MO
26,Kansas City, MO
27,O'Fallon, MO
28,Overland, MO
29,St. Louis, MO
30,Lincoln, NE
31,Omaha, NE
32,Broadview Heights, OH
33,Cincinnati, OH
34,Columbus, OH
35,Fremont, OH
36,Mason, OH
37,Miamisburg, OH
38,Richfield, OH
39,Walton Hills, OH
40,Glendale, WI
41,Madison, WI
42,Mequon, WI
43,Schofield, WI
44,Sturtevant, WI
