,cities,state,salary
0,Bloomfield, CT,99756.8
1,Hartford, CT,46820.8
2,Augusta, ME,95784.0
3,Boston, MA,60369.0
4,Cambridge, MA,107556.8
5,Southborough, MA,86292.0
6,Westborough, MA,81224.0
7,Weston, MA,161782.4
8,Salem, NH,116572.0
9,Allendale, NJ,117848.0
10,Bridgewater, NJ,90667.20000000001
11,Eatontown, NJ,33009.6
12,Franklin Lakes, NJ,48484.799999999996
13,Hoboken, NJ,79755.0
14,Iselin, NJ,53414.4
15,Jersey City, NJ,82536.0
16,Mount Laurel, NJ,101025.6
17,Newark, NJ,60278.4
18,Piscataway, NJ,71402.0
19,Plainsboro, NJ,44387.2
20,Princeton, NJ,80392.0
21,Raritan, NJ,87152.0
22,South Amboy, NJ,88261.0
23,Township of Brick, NJ,110898.0
24,Whippany, NJ,122220.8
25,Woodbridge, NJ,66537.0
26,Buffalo, NY,68439.0
27,Corning, NY,53227.2
28,Getzville, NY,54704.0
29,Long Island City, NY,122595.2
30,Manhattan, NY,70063.0
31,New York, NY,71916.0
32,Painted Post, NY,65270.4
33,Port Washington, NY,58614.4
34,Purchase, NY,111164.0
35,Queens, NY,80054.0
36,Rochester, NY,58656.0
37,Schenectady, NY,33217.6
38,Allentown, PA,79387.0
39,Bala-Cynwyd, PA,87974.0
40,Exton, PA,43950.4
41,Harrisburg, PA,61188.0
42,Malvern, PA,62691.200000000004
43,Philadelphia, PA,71856.0
44,Pittsburgh, PA,53151.0
45,West Chester, PA,80350.40000000001
46,Cumberland, RI,67870.40000000001
47,Woonsocket, RI,67537.59999999999
